rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
633,1017A10,팔당댐,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,4회차,,127.00,17.00,0.00,37.00,31.00,17.00,2019.01.21,,,3.2000,7.2000,13.6000,0.9000,3.2000,2.3000,330.0000,2.0850,0.0110,,,,,,,,,,,,,7.3000,,,,,,,130.0000,,,1.7350,0.0410,1.0000,0.0000,2.0090,0.0050,,,,,,,,1.8000,,,,,,,,,
634,1017A10,팔당댐,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,5회차,,127.00,17.00,0.00,37.00,31.00,17.00,2019.01.28,,,5.3000,8.7000,13.0000,1.0000,3.2000,2.5000,7.0000,2.1270,0.0130,,,,,,,,,,,,,8.2000,,,,,,,169.0000,,,2.0150,0.0640,1.0000,0.0010,2.0830,0.0070,,,,,,,,1.8000,,,,,,,,,
635,1018A16,탄천4,경기도 성남시 수정구 복정동 대왕교,한강물환경연구소,2019,01,1회차,,127.00,7.00,30.00,37.00,27.00,52.00,2019.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,1018A16,탄천4,경기도 성남시 수정구 복정동 대왕교,한강물환경연구소,2019,01,2회차,,127.00,7.00,30.00,37.00,27.00,52.00,2019.01.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,1101A72,진위천2-1,경기도 화성시 양감면 용소리 황구지교,한강물환경연구소,2019,03,4회차,,127.00,59.00,38.00,37.00,4.00,41.00,2019.03.27,,10.3150,14.9000,7.7000,10.1000,5.7000,10.6000,7.6000,5400.0000,9.0650,0.3850,,,,,,0.0000,,,,,,,23.1000,,,,,,,1156.0000,,,4.6560,2.0720,510.0000,0.2030,9.0050,0.3050,,,,,,,,5.9000,,0.0005,,,,,,,
638,1101A73,관리천,경기도 평택시 청북면 한산리 어소교,한강물환경연구소,2019,03,1회차,,126.00,57.00,20.00,37.00,3.00,43.00,2019.03.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,1101A73,관리천,경기도 평택시 청북면 한산리 어소교,한강물환경연구소,2019,03,2회차,,126.00,57.00,20.00,37.00,3.00,43.00,2019.03.13,,0.0890,11.1000,7.9000,14.2000,18.0000,21.1000,4.8000,,11.9550,0.3600,,,,,,,,,,,,,,,,,,,,860.0000,,,3.5700,5.4870,,0.1790,11.9450,0.2750,,,,,,,,8.9000,,,,,,,,,
640,1101A73,관리천,경기도 평택시 청북면 한산리 어소교,한강물환경연구소,2019,03,3회차,,126.00,57.00,20.00,37.00,3.00,43.00,2019.03.20,,0.0740,11.1000,7.7000,11.3000,4.6000,8.1000,3.1000,,12.2150,0.3750,,,,,,,,,,,,,,,,,,,,669.0000,,,3.2560,6.1280,,0.2220,11.5750,0.2600,,,,,,,,4.9000,,,,,,,,,
641,1101A73,관리천,경기도 평택시 청북면 한산리 어소교,한강물환경연구소,2019,03,4회차,,126.00,57.00,20.00,37.00,3.00,43.00,2019.03.27,,0.0920,16.5000,7.8000,10.9000,4.5000,7.8000,3.2000,6100.0000,10.0300,0.2400,,,,,,0.0000,,,,,,,2.9000,,,,,,,621.0000,,,3.7080,3.8000,650.0000,0.1080,9.2900,0.1400,,,,,,,,4.1000,,,,,,,,,
642,1101A75,진위천3,"경기도 평택시 고덕면 해창리 궁안교, 금각양수장앞",한강물환경연구소,2019,03,1회차,,127.00,1.00,9.00,37.00,0.00,53.00,2019.03.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,1101A75,진위천3,"경기도 평택시 고덕면 해창리 궁안교, 금각양수장앞",한강물환경연구소,2019,03,2회차,,127.00,1.00,9.00,37.00,0.00,53.00,2019.03.13,,8.5580,11.1000,7.9000,10.9000,6.8000,15.2000,37.0000,,10.6100,0.4200,,,,,,,,,,,,,,,,,,,,1326.0000,,,5.7960,2.0400,,0.1530,10.5150,0.2050,,,,,,,,6.7000,,,,,,,,,
644,1101A75,진위천3,"경기도 평택시 고덕면 해창리 궁안교, 금각양수장앞",한강물환경연구소,2019,03,3회차,,127.00,1.00,9.00,37.00,0.00,53.00,2019.03.20,,10.9810,13.1000,7.9000,9.4000,10.7000,10.3000,11.2000,,9.3300,0.2800,,,,,,,,,,,,,,,,,,,,1237.0000,,,4.8380,1.9440,,0.1430,9.3150,0.1950,,,,,,,,5.7000,,,,,,,,,
